wyniki dla pierwszej epoki doby 1.03.2026 r. godz. 0:00:00
azymut i elewacja obliczone dla phi = 52; lam = 21; h = 100 m
wyniki azymutu i elewacji w stopniach!!!
sat	x		y		z	      azymut	elewacja
314    13538490.612   -12217490.603    21109790.158   -68.185    41.247
316   -13959526.727    22030723.631    33462301.605    46.026    25.360
319    -9563493.910    21040408.114   -15643962.791   110.263   -38.480
320   -15148270.515     3700815.481   -23136250.938   114.903   -73.223
321    12087131.015    18297045.402    17296075.820   104.889    54.135
322     1881417.522    27828735.533     1356296.060   108.337     4.130
323    -5960385.691   -18992442.718   -19562899.043   -98.300   -61.804
324    25406623.488     4382121.181   -10674094.034  -169.278     1.687
325    12519508.328   -11622925.377   -22080147.690  -141.815   -37.639
326    22790071.404    15221232.607     5141720.732   161.324    36.851
327   -13930041.275    -9823863.836    22070908.787    -8.919     1.813
328     1164391.284   -18484128.570    20877869.880   -45.715    15.136
329   -20057019.023    18669615.097    -5281755.657    75.750   -35.229
330   -24446037.703     7098472.632    11393101.381    33.767   -19.625
332   -12200650.915   -18234877.757   -17211777.661   -74.329   -67.006
333     9500674.079   -20983353.950    15737379.151   -69.394    15.618
334    24458337.517    -6898187.479   -11574421.714  -146.703    -6.079
335    -2182225.544    19228326.759   -20115707.231   130.832   -37.834
336   -13146751.131    11084932.125    21994683.094    36.838    13.124
337   -21800886.208   -16285655.015    -6256835.125   -23.740   -56.194
338    -5606570.754    28050571.203   -30836289.667   128.911   -37.393
339   -17845805.643    21529930.844    31565786.076    44.991    19.134
340   -21866402.887    36172221.660    -2333403.032    83.887   -16.998
341    -1159738.047   -27861399.820       -6339.099   -71.150   -25.987
342    15422412.411     -867589.564    23283247.163   -62.816    70.971
343    19183988.795   -19223672.886     6454548.041  -100.699    12.297
344    14398452.813     9399537.329   -22006799.201   172.310   -26.307
345     5200147.509    18808969.158    19927728.494    78.644    45.825
346   -25110788.473    -3771493.128    11604206.833    11.593   -24.609
347   -24025081.339    14091068.486     1587740.354    55.977   -31.056
348   -13944914.972    11601021.254   -21197791.341   110.910   -59.290
349    11989138.783   -20316319.443    14908903.818   -75.268    17.949
350    15158373.839     9403733.013    21470378.634    99.631    80.962
359   -32329635.947    26908738.639    -3002907.600    68.639   -28.473
360     7319117.564    41331783.602    -4043428.411   118.498     5.270
362   -39637984.605    14344206.605    -1191076.398    48.521   -36.162
